Headlines,Time,Description,cleaned_text,standardized_text,tokens
"Everything Jim Cramer said on 'Mad Money,' including market rally, Robinhood impact and Zappos CEO"," 7:24  PM ET Tue, 26 Nov 2019","The ""Mad Money"" host explains why the stock market has kept rallying despite some concerns. He also discusses Robinhood's impact on investing and talks tariff impact with the CEO of Zappos.",everything jim cramer said on mad money including market rally robinhood impact and zappos ceo,everything jim cramer said on mad money including market rally robinhood impact and zappos ceo,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'market', 'rally', 'robinhood', 'impact', 'zappos', 'ceo']"
Lightning Round Contemplate," 6:48  PM ET Tue, 26 Nov 2019","The ""Mad Money"" host says FedEx is too cheap right now, and he also recommended taking some shares of Arrowhead Pharmaceuticals off the table.",lightning round contemplate,lightning round contemplate,"['lightning', 'round', 'contemplate']"
Zappos CEO says trade war tariffs haven't impacted pricing yet," 6:50  PM ET Tue, 26 Nov 2019","Even if tariffs end up putting pressure on Zappos, Hsieh said he believes its loyal customers would continue shopping with the company due to its commitment to customer service.",zappos ceo says trade war tariffs havent impacted pricing yet,zappos ceo says trade war tariffs havent impacted pricing yet,"['zappos', 'ceo', 'says', 'trade', 'war', 'tariffs', 'nt', 'impacted', 'pricing']"
"Cramer: The stock market will continue rallying despite trade war, impeachment and other concerns"," 6:52  PM ET Tue, 26 Nov 2019","The ""Mad Money"" host explains that the stock market has remained strong because tariffs haven't been as impactful as expected, sensible mergers have been announced and employment remains robust.",cramer the stock market will continue rallying despite trade war impeachment and other concerns,cramer the stock market will continue rallying despite trade war impeachment and other concerns,"['cramer', 'stock', 'market', 'continue', 'rallying', 'despite', 'trade', 'war', 'impeachment', 'concerns']"
How 3D printing company Carbon is trying to shape the future of manufacturing," 3:57  PM ET Tue, 26 Nov 2019","""This has been an area that's been around for 25, 30 years ... We've cracked the code on how to do 3D printing 100 to 1,000 times faster,"" Carbon's Joseph DeSimone says.",how d printing company carbon is trying to shape the future of manufacturing,how d printing company carbon is trying to shape the future of manufacturing,"['d', 'printing', 'company', 'carbon', 'trying', 'shape', 'future', 'manufacturing']"
Credit Suisse sees almost 10% upside in the S&P 500 in 2020,"11:05  PM ET Mon, 25 Nov 2019","Jonathan Golub of Credit Suisse says the S&P 500 could move up toward 3,425 in 2020 because of a better economic backdrop and improved earnings. He also says he's not expecting a ""wonderful"" trade deal to lift markets and his optimism is not trade dependent.",credit suisse sees almost upside in the sp in ,credit suisse sees almost upside in the sp in ,"['credit', 'suisse', 'sees', 'upside', 'sp']"
"Everything Jim Cramer said on 'Mad Money,' including mergers, buy Uber, PVH CEO and sell Sonos"," 8:26  PM ET Mon, 25 Nov 2019","CNBC's Jim Cramer explains what the recent mergers tell us about the stock market. The ""Mad Money"" host also explains why now is the right time to buy shares of Uber.",everything jim cramer said on mad money including mergers buy uber pvh ceo and sell sonos,everything jim cramer said on mad money including mergers buy uber pvh ceo and sell sonos,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'mergers', 'buy', 'uber', 'pvh', 'ceo', 'sell', 'sonos']"
Cramer's lightning round: Take profits and sell some shares of Sonos," 7:23  PM ET Mon, 25 Nov 2019","The ""Mad Money"" host also recommends buying shares of Costco when its stock pulls back. He also does not recommend Molson Coors Brewing Company.",cramers lightning round take profits and sell some shares of sonos,cramers lightning round take profits and sell some shares of sonos,"['cramers', 'lightning', 'round', 'profits', 'sell', 'shares', 'sonos']"
CEO of Calvin Klein owner warns China tariffs could soon hit US economy in a meaningful way," 7:01  PM ET Mon, 25 Nov 2019","The uncertainty of the U.S.-China trade war has been the biggest hindrance to business, PVH CEO Emanuel Chirico said.",ceo of calvin klein owner warns china tariffs could soon hit us economy in a meaningful way,ceo of calvin klein owner warns china tariffs could soon hit us economy in a meaningful way,"['ceo', 'calvin', 'klein', 'owner', 'warns', 'china', 'tariffs', 'soon', 'hit', 'economy', 'meaningful', 'way']"
"Shares of Uber are now worth buying, Jim Cramer says"," 6:58  PM ET Mon, 25 Nov 2019","The ""Mad Money"" host has been skeptical of Uber, but he believes there is a clear path for its stock to go higher.",shares of uber are now worth buying jim cramer says,shares of uber are now worth buying jim cramer says,"['shares', 'uber', 'worth', 'buying', 'jim', 'cramer', 'says']"
Cramer: Recent mergers show stocks are not as expensive as people think," 6:11  PM ET Mon, 25 Nov 2019","If stocks were actually overpriced, there would not be as much merger and acquisition activity, the ""Mad Money"" host says.",cramer recent mergers show stocks are not as expensive as people think,cramer recent mergers show stocks are not as expensive as people think,"['cramer', 'recent', 'mergers', 'stocks', 'expensive', 'people', 'think']"
,,,,,[]
"The S&P 500's chart is signaling a near-term pullback, technical analyst warns"," 7:02  AM ET Mon, 25 Nov 2019","The last time the S&P 500's chart showed this, stocks pulled back shortly thereafter, says JC O'Hara, chief market technician at MKM Partners.",the sp s chart is signaling a nearterm pullback technical analyst warns,the sp s chart is signaling a nearterm pullback technical analyst warns,"['sp', 's', 'chart', 'signaling', 'nearterm', 'pullback', 'technical', 'analyst', 'warns']"
"Everything Jim Cramer said on 'Mad Money,' including trade war progress, Clorox and SoFi CEOs"," 7:12  PM ET Fri, 22 Nov 2019",CNBC's Jim Cramer takes a look at a shortened week of Wall Street that's full of earnings reports heading into the Thanksgiving holiday. He sits down with the CEOs of Clorox and fintech disruptor SoFi.,everything jim cramer said on mad money including trade war progress clorox and sofi ceos,everything jim cramer said on mad money including trade war progress clorox and sofi ceos,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'trade', 'war', 'progress', 'clorox', 'sofi', 'ceos']"
Cramer's lightning round: Let Tesla shares come down more before buying," 6:50  PM ET Fri, 22 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round let tesla shares come down more before buying,cramers lightning round let tesla shares come down more before buying,"['cramers', 'lightning', 'round', 'let', 'tesla', 'shares', 'come', 'buying']"
SoFi CEO predicts a 'fair amount of consolidation' to come to financial services industry,"11:22  AM ET Tue, 17 Dec 2019","The financial services industry really hasn't had the type of innovation that you've seen in e-commerce as you've seen in online travel,"" SoFi CEO Anthony Noto tells CNBC.",sofi ceo predicts a fair amount of consolidation to come to financial services industry,sofi ceo predicts a fair amount of consolidation to come to financial services industry,"['sofi', 'ceo', 'predicts', 'fair', 'consolidation', 'come', 'financial', 'services', 'industry']"
Clorox CEO: What is good for the environment is good for business," 6:24  PM ET Fri, 22 Nov 2019","""We want to reduce the virgin plastic and fiber that we use in our products and packaging by 50% over the next 10 years,"" Clorox CEO Benno Dorer says.",clorox ceo what is good for the environment is good for business,clorox ceo what is good for the environment is good for business,"['clorox', 'ceo', 'good', 'environment', 'good', 'business']"
Cramer's week ahead: A short week on Wall Street stuffed with earnings reports," 6:23  PM ET Fri, 22 Nov 2019","""Will the president slaughter a turkey this year, or slaughter the market? I bet he goes for the former,"" ""Mad Money's"" Jim Cramer says.",cramers week ahead a short week on wall street stuffed with earnings reports,cramers week ahead a short week on wall street stuffed with earnings reports,"['cramers', 'week', 'ahead', 'short', 'week', 'wall', 'street', 'stuffed', 'earnings', 'reports']"
,,,,,[]
"'We've been in this slow melt higher,' technical analyst says"," 3:35  PM ET Fri, 22 Nov 2019","JC O'Hara, chief market technician at MKM Partners, and Steve Chiavarone, equity strategist, vice president and portfolio manager at Federated, discuss what's ahead for stocks with CNBC's Mike Santoli.",weve been in this slow melt higher technical analyst says,weve been in this slow melt higher technical analyst says,"['ve', 'slow', 'melt', 'higher', 'technical', 'analyst', 'says']"
"Everything Jim Cramer said on 'Mad Money,' including Schwab-TD Ameritrade talks, weed stocks","11:23  AM ET Mon, 25 Nov 2019","CNBC's Jim Cramer explains what triggered Charles Schwab and TD Ameritrade brokerages to discuss a merger, tells investors it's time to sell marijuana stocks and sits down with the CEOs of United Airlines and Advanced Micro Devices.",everything jim cramer said on mad money including schwabtd ameritrade talks weed stocks,everything jim cramer said on mad money including schwabtd ameritrade talks weed stocks,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'schwabtd', 'ameritrade', 'talks', 'weed', 'stocks']"
Cramer's lightning round: Lululemon will be one of the 'retail survivors'," 7:14  PM ET Thu, 21 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round lululemon will be one of the retail survivors,cramers lightning round lululemon will be one of the retail survivors,"['cramers', 'lightning', 'round', 'lululemon', 'retail', 'survivors']"
Jim Cramer: Robinhood pushed Charles Schwab to deal for TD Ameritrade," 7:20  PM ET Thu, 21 Nov 2019","""These companies have to combine to cut tech spending ... ad spending to defend their turf"" from app trading, ""Mad Money"" host Jim Cramer says.",jim cramer robinhood pushed charles schwab to deal for td ameritrade,jim cramer robinhood pushed charles schwab to deal for td ameritrade,"['jim', 'cramer', 'robinhood', 'pushed', 'charles', 'schwab', 'deal', 'td', 'ameritrade']"
"Facts show talk of recession is way overblown, United Airlines CEO says"," 6:44  PM ET Thu, 21 Nov 2019","""I've never seen a wider gap between what is being discussed and trying to be pushed and the facts and the figures that we see,"" Oscar Munoz says.",facts show talk of recession is way overblown united airlines ceo says,facts show talk of recession is way overblown united airlines ceo says,"['facts', 'talk', 'recession', 'way', 'overblown', 'united', 'airlines', 'ceo', 'says']"
"Sell the pot stocks — the market is 'not what it was cracked up to be,' Jim Cramer says","11:41  AM ET Mon, 25 Nov 2019","""Companies need to close, funding needs to dry up, mergers must occur. Until then, these stocks are now sell-in-the-strength detritus,"" the ""Mad Money"" host says.",sell the pot stocks the market is not what it was cracked up to be jim cramer says,sell the pot stocks the market is not what it was cracked up to be jim cramer says,"['sell', 'pot', 'stocks', 'market', 'cracked', 'jim', 'cramer', 'says']"
"Everything Jim Cramer said on 'Mad Money,' including retail earnings, Okta and Tableau Software CEOs"," 8:23  PM ET Wed, 20 Nov 2019","CNBC's Jim Cramer breaks down the strengths and weakness behind the earnings reports in Home Depot, Lowe's, Kohl's and Target. The ""Mad Money"" host sits down with the CEOs of Okta and Tableau to get insight into the impact of technology on businesses.",everything jim cramer said on mad money including retail earnings okta and tableau software ceos,everything jim cramer said on mad money including retail earnings okta and tableau software ceos,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'retail', 'earnings', 'okta', 'tableau', 'software', 'ceos']"
Cramer's lightning round: I do believe that AT&T is a good stock," 6:52  PM ET Wed, 20 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i do believe that att is a good stock,cramers lightning round i do believe that att is a good stock,"['cramers', 'lightning', 'round', 'believe', 'att', 'good', 'stock']"
"Retailers such as Kohl's 'in trouble' without better digital presence or bargains, Cramer says"," 6:43  PM ET Wed, 20 Nov 2019","""Wait for the next round of tariff hikes or nasty trade rhetoric ... to knock down the whole group, and then buy the retail winners,"" Jim Cramer says.",retailers such as kohls in trouble without better digital presence or bargains cramer says,retailers such as kohls in trouble without better digital presence or bargains cramer says,"['retailers', 'kohls', 'trouble', 'better', 'digital', 'presence', 'bargains', 'cramer', 'says']"
"Digital was key difference in rivals Home Depot, Lowe's quarterly reports, Jim Cramer says"," 6:29  PM ET Wed, 20 Nov 2019","""These days, people expect everything to be frictionless. The moment they hit any kind of problem, any speed bump, they just take their business elsewhere,"" the ""Mad Money"" host says.",digital was key difference in rivals home depot lowes quarterly reports jim cramer says,digital was key difference in rivals home depot lowes quarterly reports jim cramer says,"['digital', 'key', 'difference', 'rivals', 'home', 'depot', 'lowes', 'quarterly', 'reports', 'jim', 'cramer', 'says']"
"Everything Jim Cramer said on 'Mad Money,' including trade hits to tech stocks, Salesforce CEO interview"," 7:53  PM ET Tue, 19 Nov 2019","CNBC's Jim Cramer advises investors not to give up software-as-a-service plays, despite boiling trade tensions. The ""Mad Money"" host sits down for interviews with executives of Salesforce, Square and RH.",everything jim cramer said on mad money including trade hits to tech stocks salesforce ceo interview,everything jim cramer said on mad money including trade hits to tech stocks salesforce ceo interview,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'trade', 'hits', 'tech', 'stocks', 'salesforce', 'ceo', 'interview']"
Cramer's lightning round: I say buy American Tower," 6:49  PM ET Tue, 19 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i say buy american tower,cramers lightning round i say buy american tower,"['cramers', 'lightning', 'round', 'buy', 'american', 'tower']"
Salesforce's Marc Benioff introduces Customer 360 Truth: The 'computer science holy grail'," 6:35  PM ET Tue, 19 Nov 2019","""Now we're entering the fourth stage of computing. It's the pursuit of [the stage known as] single source of truth, and we've built that into our platform,"" Marc Benioff tells CNBC's Jim Cramer.",salesforces marc benioff introduces customer truth the computer science holy grail,salesforces marc benioff introduces customer truth the computer science holy grail,"['salesforces', 'marc', 'benioff', 'introduces', 'customer', 'truth', 'computer', 'science', 'holy', 'grail']"
"Selling software service stocks on trade worries is a 'big mistake,' Jim Cramer says"," 6:50  PM ET Tue, 19 Nov 2019","Software-as-a-service stocks ""tend to come bouncing back with alacrity because these companies are forces of nature,"" ""Mad Money's"" Jim Cramer says.",selling software service stocks on trade worries is a big mistake jim cramer says,selling software service stocks on trade worries is a big mistake jim cramer says,"['selling', 'software', 'service', 'stocks', 'trade', 'worries', 'big', 'mistake', 'jim', 'cramer', 'says']"
,,,,,[]
Cramer's lightning round: Cannabis ETFs have pulled down GW Pharma," 6:48  PM ET Mon, 18 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round cannabis etfs have pulled down gw pharma,cramers lightning round cannabis etfs have pulled down gw pharma,"['cramers', 'lightning', 'round', 'cannabis', 'etfs', 'pulled', 'gw', 'pharma']"
"Airbnb could choose direct listing over IPO in 2020 — 'We don't need the money,' CEO says"," 6:43  PM ET Mon, 18 Nov 2019","Most companies rushing to public markets ""need the money. We don't need to raise money and so we haven't been in a rush,"" Airbnb CEO Brian Chesky says.",airbnb could choose direct listing over ipo in we dont need the money ceo says,airbnb could choose direct listing over ipo in we dont need the money ceo says,"['airbnb', 'choose', 'direct', 'listing', 'ipo', 'nt', 'need', 'money', 'ceo', 'says']"
Levi's CEO: 'The best innovation happens when you've got constraints'," 6:37  PM ET Mon, 18 Nov 2019","""Completely unconstrained, an innovation organization can just get lost in the weeds,"" Chip Bergh says on ""Mad Money.""",levis ceo the best innovation happens when youve got constraints,levis ceo the best innovation happens when youve got constraints,"['levis', 'ceo', 'best', 'innovation', 'happens', 've', 'got', 'constraints']"
"'When tech stocks go down they're not necessarily out,' Jim Cramer says"," 6:50  PM ET Mon, 18 Nov 2019","Jim Cramer says it's ""crazy"" to sell semiconductor stocks such as AMD and Nvidia ""when they report good quarters with a tiny bit of irrelevant hair on them.""",when tech stocks go down theyre not necessarily out jim cramer says,when tech stocks go down theyre not necessarily out jim cramer says,"['tech', 'stocks', 'necessarily', 'jim', 'cramer', 'says']"
"Everything Jim Cramer said on 'Mad Money,' including upcoming earnings and Walmart"," 1:24  PM ET Mon, 18 Nov 2019","The ""Mad Money"" host offers his early take on next week's earnings reports, while also learning about how artificial intelligence is changing how customers interact with brands from LivePerson's CEO.",everything jim cramer said on mad money including upcoming earnings and walmart,everything jim cramer said on mad money including upcoming earnings and walmart,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'upcoming', 'earnings', 'walmart']"
Cramer's lightning round: I'm a buyer of Wells Fargo," 7:53  PM ET Fri, 15 Nov 2019","The ""Mad Money"" host also says that he would not recommend buying any pipeline stocks. But if you own a company such as Kinder Morgan, ""you don't have to get rid of it.""",cramers lightning round im a buyer of wells fargo,cramers lightning round im a buyer of wells fargo,"['cramers', 'lightning', 'round', 'm', 'buyer', 'wells', 'fargo']"
,,,,,[]
"Artificial intelligence has become a driving force in everyday life, says LivePerson CEO"," 6:39  PM ET Fri, 15 Nov 2019","""We're one of the few companies where it's not a piece of the puzzle. It's the entire puzzle,"" LivePerson CEO Robert LoCascio says.",artificial intelligence has become a driving force in everyday life says liveperson ceo,artificial intelligence has become a driving force in everyday life says liveperson ceo,"['artificial', 'intelligence', 'driving', 'force', 'everyday', 'life', 'says', 'liveperson', 'ceo']"
"Cramer's week ahead: Home Depot, Target and Macy's earnings — plus US-China trade developments"," 7:50  PM ET Fri, 15 Nov 2019","The ""Mad Money"" host explains what he will monitor closely next week, including earnings reports from Kohl's and Foot Locker. He's also watching for news in the U.S.-China trade war.",cramers week ahead home depot target and macys earnings plus uschina trade developments,cramers week ahead home depot target and macys earnings plus uschina trade developments,"['cramers', 'week', 'ahead', 'home', 'depot', 'target', 'macys', 'earnings', 'plus', 'uschina', 'trade', 'developments']"
"Everything Jim Cramer said on 'Mad Money,' including Cisco's quarter, Viacom CEO, trade war divides"," 8:19  PM ET Thu, 14 Nov 2019","CNBC's Jim Cramer breaks down how Cisco's stock woes reflect other tech stocks, sits down with Viacom CEO Bob Bakish to talk streaming and the merger with CBS, and explains why the U.S.-China trade war could be at risk of dragging for years.",everything jim cramer said on mad money including ciscos quarter viacom ceo trade war divides,everything jim cramer said on mad money including ciscos quarter viacom ceo trade war divides,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'ciscos', 'quarter', 'viacom', 'ceo', 'trade', 'war', 'divides']"
Cramer: Ideological divides could make the US-China trade war 'go on for years'," 7:33  PM ET Thu, 14 Nov 2019","""If I were the Chinese, I would rather deal with Trump now, than Trump or Warren later,"" the ""Mad Money"" host says.",cramer ideological divides could make the uschina trade war go on for years,cramer ideological divides could make the uschina trade war go on for years,"['cramer', 'ideological', 'divides', 'uschina', 'trade', 'war', 'years']"
Cramer's lightning round: I want you to buy CVS," 7:02  PM ET Thu, 14 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i want you to buy cvs,cramers lightning round i want you to buy cvs,"['cramers', 'lightning', 'round', 'want', 'buy', 'cvs']"
"Jim Cramer: Cisco, enterprise tech stocks 'turned into market punching bags'"," 6:43  PM ET Thu, 14 Nov 2019","""The market wants nothing to do with tech companies that serve the enterprise, but ... it loves the consumer,"" the ""Mad Money"" host says.",jim cramer cisco enterprise tech stocks turned into market punching bags,jim cramer cisco enterprise tech stocks turned into market punching bags,"['jim', 'cramer', 'cisco', 'enterprise', 'tech', 'stocks', 'turned', 'market', 'punching', 'bags']"
Viacom CEO: We will bring a 'different approach' to compete in streaming," 6:44  PM ET Thu, 14 Nov 2019","When Viacom and CBS merge in December, the reunited entity will combine ""free and paid"" products to reach ""the widest accessible market,"" Bob Bakish tells Jim Cramer.",viacom ceo we will bring a different approach to compete in streaming,viacom ceo we will bring a different approach to compete in streaming,"['viacom', 'ceo', 'bring', 'different', 'approach', 'compete', 'streaming']"
"Everything Jim Cramer said on 'Mad Money,' including Disney+ stats, buying Peloton, 5G rollout, Dexcom"," 7:34  PM ET Wed, 13 Nov 2019","CNBC's Jim Cramer hails Bob Iger's leadership at Disney, explains the right time to buy shares of Peloton, sits down for an interview with Dexcom CEO Kevin Sayer and breaks down the 5G rollout.",everything jim cramer said on mad money including disney stats buying peloton g rollout dexcom,everything jim cramer said on mad money including disney stats buying peloton g rollout dexcom,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'disney', 'stats', 'buying', 'peloton', 'g', 'rollout', 'dexcom']"
Cramer's lightning round: I want you to own Coca-Cola," 7:07  PM ET Wed, 13 Nov 2019","It's that time again! ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i want you to own cocacola,cramers lightning round i want you to own cocacola,"['cramers', 'lightning', 'round', 'want', 'cocacola']"
"Big Data is the 'next frontier' for medicine, says Dexcom CEO"," 6:48  PM ET Wed, 13 Nov 2019","""When you can do things like that, and deliver results like that with a system, you're really solving a very serious problem,"" DexCom CEO Kevin Sayer says.",big data is the next frontier for medicine says dexcom ceo,big data is the next frontier for medicine says dexcom ceo,"['big', 'data', 'frontier', 'medicine', 'says', 'dexcom', 'ceo']"
"Investors should wait for Peloton shares to get hit in early 2020 and then 'pounce,' Jim Cramer says"," 4:45  PM ET Thu, 14 Nov 2019",Jim Cramer suggests holding off from buying shares of exercise equipment manufacturer Peloton until after its lockup on insider trading expires in March.,investors should wait for peloton shares to get hit in early and then pounce jim cramer says,investors should wait for peloton shares to get hit in early and then pounce jim cramer says,"['investors', 'wait', 'peloton', 'shares', 'hit', 'early', 'pounce', 'jim', 'cramer', 'says']"
"Disney shares have more upside, 'even after today's phenomenal run,' Jim Cramer says"," 4:34  PM ET Thu, 14 Nov 2019","""Not long ago, Iger told me 'we're just getting started,' and I say 'it's still not too late to join him on his ride of a lifetime,'"" the ""Mad Money"" host says.",disney shares have more upside even after todays phenomenal run jim cramer says,disney shares have more upside even after todays phenomenal run jim cramer says,"['disney', 'shares', 'upside', 'todays', 'phenomenal', 'run', 'jim', 'cramer', 'says']"
The RealReal CEO says: 'We keep changing' to fend off fakes," 4:40  PM ET Wed, 13 Nov 2019","The RealReal is constantly updating its operations in an effort to prevent and remove counterfeit products from its website, founder and CEO Julie Wainwright told CNBC Tuesday.",the realreal ceo says we keep changing to fend off fakes,the realreal ceo says we keep changing to fend off fakes,"['realreal', 'ceo', 'says', 'changing', 'fend', 'fakes']"
"PayPal CFO: Military veterans have leadership, teamwork skills that 'make us a much better company'"," 8:42  PM ET Tue, 12 Nov 2019","""When employers look at the qualities that they want in candidates, military veterans have honed some of those skills in their career,"" PayPal CFO John Rainey says.",paypal cfo military veterans have leadership teamwork skills that make us a much better company,paypal cfo military veterans have leadership teamwork skills that make us a much better company,"['paypal', 'cfo', 'military', 'veterans', 'leadership', 'teamwork', 'skills', 'better', 'company']"
,,,,,[]
"Everything Jim Cramer said on 'Mad Money,' including Trump tariff threat, PayPal and RealReal execs","11:01  AM ET Wed, 13 Nov 2019",CNBC's Jim Cramer flags that the stock market would not be able to absorb another tariff increase on Chinese imports. He sits down with RealReal CEO Julie Wainwright to talk about the company's product authentication process and chats with PayPal CFO.,everything jim cramer said on mad money including trump tariff threat paypal and realreal execs,everything jim cramer said on mad money including trump tariff threat paypal and realreal execs,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'trump', 'tariff', 'threat', 'paypal', 'realreal', 'execs']"
Cramer's lightning round: I won't rule out this gold company's stock," 7:05  PM ET Tue, 12 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i wont rule out this gold companys stock,cramers lightning round i wont rule out this gold companys stock,"['cramers', 'lightning', 'round', 'wo', 'nt', 'rule', 'gold', 'companys', 'stock']"
"I doubt the stock market can absorb much higher tariffs, Jim Cramer says"," 6:41  PM ET Tue, 12 Nov 2019","""If the Chinese really are eager to make a deal, well that would give the averages a major boost,"" the ""Mad Money"" host says.",i doubt the stock market can absorb much higher tariffs jim cramer says,i doubt the stock market can absorb much higher tariffs jim cramer says,"['doubt', 'stock', 'market', 'absorb', 'higher', 'tariffs', 'jim', 'cramer', 'says']"
"Everything Jim Cramer said on 'Mad Money,' including bear woes, CEO pay"," 7:53  PM ET Mon, 11 Nov 2019","CNBC's Jim Cramer breaks down what bear investors are getting wrong about the market, sits down with Norwegian Cruise Line CEO Frank Del Rio on its new ship, explains why there could be more room for the market to run and defends CEO pay.",everything jim cramer said on mad money including bear woes ceo pay,everything jim cramer said on mad money including bear woes ceo pay,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'bear', 'woes', 'ceo', 'pay']"
"The problem with income inequality is not CEO pay — it's everybody else's, Jim Cramer says"," 7:00  PM ET Mon, 11 Nov 2019","""Income inequality is a real problem in this country … but the problem is not CEO pay. I think it might be everybody else's pay,"" the ""Mad Money"" host says.",the problem with income inequality is not ceo pay its everybody elses jim cramer says,the problem with income inequality is not ceo pay its everybody elses jim cramer says,"['problem', 'income', 'inequality', 'ceo', 'pay', 'everybody', 'elses', 'jim', 'cramer', 'says']"
"The bulls are 'running circles around' the bears, Jim Cramer says"," 6:50  PM ET Mon, 11 Nov 2019","""This market just keeps surprising us with companies that are doing better than anyone could've imagined, or at least their stocks were cheaper than we thought,"" the ""Mad Money"" host says.",the bulls are running circles around the bears jim cramer says,the bulls are running circles around the bears jim cramer says,"['bulls', 'running', 'circles', 'bears', 'jim', 'cramer', 'says']"
,,,,,[]
Cramer's lighting round: The fossil fuels sector is in the house of pain," 6:48  PM ET Mon, 11 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lighting round the fossil fuels sector is in the house of pain,cramers lighting round the fossil fuels sector is in the house of pain,"['cramers', 'lighting', 'round', 'fossil', 'fuels', 'sector', 'house', 'pain']"
"Norwegian Cruise is taking the environment 'seriously' by eliminating plastic water bottles, CEO says"," 6:24  PM ET Mon, 11 Nov 2019","""We ply the ocean's waters. We do everything we possibly can ... to prevent any kind of pollution in the water or in the air,"" CEO Frank Del Rio tells Jim Cramer.",norwegian cruise is taking the environment seriously by eliminating plastic water bottles ceo says,norwegian cruise is taking the environment seriously by eliminating plastic water bottles ceo says,"['norwegian', 'cruise', 'taking', 'environment', 'seriously', 'eliminating', 'plastic', 'water', 'bottles', 'ceo', 'says']"
$9 billion money manager who called record run sees new highs ahead," 5:00  PM ET Sun, 10 Nov 2019","The S&P 500 could see even more new highs this year, says Avalon Investment & Advisory's investment chief Bill Stone.", billion money manager who called record run sees new highs ahead, billion money manager who called record run sees new highs ahead,"[' ', 'billion', 'money', 'manager', 'called', 'record', 'run', 'sees', 'new', 'highs', 'ahead']"
"Everything Jim Cramer said on 'Mad Money,' including stocks for kids, Starbucks hiring veterans"," 7:22  PM ET Fri,  8 Nov 2019","CNBC's Jim Cramer says Disney and Nvidia are two stocks to put in your kid's portfolio. The ""Mad Money"" host also hears from Starbucks CEO Kevin Johnson on hiring veterans.",everything jim cramer said on mad money including stocks for kids starbucks hiring veterans,everything jim cramer said on mad money including stocks for kids starbucks hiring veterans,"['jim', 'cramer', 'said', 'mad', 'money', 'including', 'stocks', 'kids', 'starbucks', 'hiring', 'veterans']"
Cramer's lightning round: Microsoft is on its way to $150," 6:53  PM ET Fri,  8 Nov 2019",Jim Cramer takes stock questions from and gives his thoughts to military members at the U.S. Airforce Academy in Colorado in a special version of the lightning round.,cramers lightning round microsoft is on its way to ,cramers lightning round microsoft is on its way to ,"['cramers', 'lightning', 'round', 'microsoft', 'way']"
Two stocks Jim Cramer says you should add to your kid's portfolio," 6:53  PM ET Fri,  8 Nov 2019","The ""Mad Money"" host says to start your child's stock portfolio with shares of Disney and Nvidia.",two stocks jim cramer says you should add to your kids portfolio,two stocks jim cramer says you should add to your kids portfolio,"['stocks', 'jim', 'cramer', 'says', 'add', 'kids', 'portfolio']"
"Starbucks CEO: We plan to hire 5,000 veterans annually"," 6:53  PM ET Fri,  8 Nov 2019","""They make us a better company,"" Starbucks CEO Kevin Johnson tells Jim Cramer on ""Mad Money.""",starbucks ceo we plan to hire veterans annually,starbucks ceo we plan to hire veterans annually,"['starbucks', 'ceo', 'plan', 'hire', 'veterans', 'annually']"
"TJX, Ross, Burlington are beneficiaries of 'roadkill losers in the mall,' Jim Cramer says"," 6:53  PM ET Fri,  8 Nov 2019","Shopping center landlords don't have to worry about off-price retailers going under the next time we have a recession, the ""Mad Money"" host says.",tjx ross burlington are beneficiaries of roadkill losers in the mall jim cramer says,tjx ross burlington are beneficiaries of roadkill losers in the mall jim cramer says,"['tjx', 'ross', 'burlington', 'beneficiaries', 'roadkill', 'losers', 'mall', 'jim', 'cramer', 'says']"
